race,lap,i_num,i_rank,m_num,m_rank,ave_rank,norm_ave_rank,goal_rank,point,Skater ID
3,3,1,13,1,13,13,0.8125,1,60,1
3,3,2,16,2,16,16,1,15,0,15
3,3,3,14,3,15,14.5,0.90625,2,40,2
3,3,4,9,4,10,9.5,0.59375,13,0,13
3,3,5,6,5,7,6.5,0.40625,3,20,3
3,3,6,11,6,9,10,0.625,4,0,4
3,3,7,3,7,3,3,0.1875,16,0,16
3,3,8,15,8,14,14.5,0.90625,5,0,5
3,3,9,12,9,12,12,0.75,8,0,8
3,3,10,8,10,8,8,0.5,11,0,11
3,3,11,4,11,4,4,0.25,9,0,9
3,3,12,5,12,5,5,0.3125,7,0,7
3,3,13,1,13,1,1,0.0625,14,0,14
3,3,14,10,14,11,10.5,0.65625,6,0,6
3,3,15,2,15,2,2,0.125,12,0,12
3,3,16,7,16,6,6.5,0.40625,10,0,10
3,2,1,8,1,7,7.5,0.46875,1,60,1
3,2,2,16,2,16,16,1,15,0,15
3,2,3,10,3,10,10,0.625,2,40,2
3,2,4,3,4,3,3,0.1875,13,0,13
3,2,5,4,5,4,4,0.25,3,20,3
3,2,6,6,6,6,6,0.375,4,0,4
3,2,7,15,7,15,15,0.9375,16,0,16
3,2,8,7,8,8,7.5,0.46875,5,0,5
3,2,9,9,9,9,9,0.5625,8,0,8
3,2,10,13,10,14,13.5,0.84375,11,0,11
3,2,11,11,11,11,11,0.6875,9,0,9
3,2,12,12,12,12,12,0.75,7,0,7
3,2,13,1,13,1,1,0.0625,14,0,14
3,2,14,5,14,5,5,0.3125,6,0,6
3,2,15,2,15,2,2,0.125,12,0,12
3,2,16,14,16,13,13.5,0.84375,10,0,10
3,1,1,7,1,7,7,0.4375,1,60,1
3,1,2,15,2,15,15,0.9375,15,0,15
3,1,3,8,3,8,8,0.5,2,40,2
3,1,4,14,4,13,13.5,0.84375,13,0,13
3,1,5,3,5,3,3,0.1875,3,20,3
3,1,6,5,6,5,5,0.3125,4,0,4
3,1,7,16,7,16,16,1,16,0,16
3,1,8,6,8,6,6,0.375,5,0,5
3,1,9,9,9,9,9,0.5625,8,0,8
3,1,10,13,10,11,12,0.75,11,0,11
3,1,11,11,11,14,12.5,0.78125,9,0,9
3,1,12,10,12,10,10,0.625,7,0,7
3,1,13,1,13,1,1,0.0625,14,0,14
3,1,14,4,14,4,4,0.25,6,0,6
3,1,15,2,15,2,2,0.125,12,0,12
3,1,16,12,16,12,12,0.75,10,0,10
7,3,1,1,1,1,1,0.0625,5,0,11
7,3,2,10,2,10,10,0.625,7,0,5
7,3,3,5,3,5,5,0.3125,1,60,1
7,3,4,,4,,,0,16,0,8
7,3,5,11,5,11,11,0.6875,11,0,3
7,3,6,15,6,15,15,0.9375,15,0,22
7,3,7,14,7,14,14,0.875,13,0,4
7,3,8,3,8,3,3,0.1875,4,0,2
7,3,9,12,9,12,12,0.75,10,0,20
7,3,10,4,10,4,4,0.25,6,0,18
7,3,11,13,11,13,13,0.8125,12,0,13
7,3,12,6,12,6,6,0.375,3,20,16
7,3,13,7,13,7,7,0.4375,9,0,19
7,3,14,2,14,2,2,0.125,2,40,17
7,3,15,9,15,9,9,0.5625,8,0,18
7,3,16,8,16,8,8,0.5,14,0,21
7,2,1,6,1,6,6,0.375,5,0,11
7,2,2,7,2,7,7,0.4375,7,0,5
7,2,3,2,3,2,2,0.125,1,60,1
7,2,4,,4,,,0,16,0,8
7,2,5,9,5,8,8.5,0.53125,11,0,3
7,2,6,15,6,15,15,0.9375,15,0,22
7,2,7,14,7,14,14,0.875,13,0,4
7,2,8,4,8,4,4,0.25,4,0,2
7,2,9,11,9,10,10.5,0.65625,10,0,20
7,2,10,1,10,1,1,0.0625,6,0,18
7,2,11,13,11,13,13,0.8125,12,0,13
7,2,12,5,12,5,5,0.3125,3,20,16
7,2,13,12,13,12,12,0.75,9,0,19
7,2,14,3,14,3,3,0.1875,2,40,17
7,2,15,8,15,9,8.5,0.53125,8,0,18
7,2,16,10,16,11,10.5,0.65625,14,0,21
7,1,1,6,1,6,6,0.375,5,0,11
7,1,2,7,2,7,7,0.4375,7,0,5
7,1,3,4,3,4,4,0.25,1,60,1
7,1,4,,4,,,0,16,0,8
7,1,5,11,5,8,9.5,0.59375,11,0,3
7,1,6,15,6,15,15,0.9375,15,0,22
7,1,7,13,7,14,13.5,0.84375,13,0,4
7,1,8,3,8,3,3,0.1875,4,0,2
7,1,9,9,9,10,9.5,0.59375,10,0,20
7,1,10,1,10,1,1,0.0625,6,0,18
7,1,11,14,11,13,13.5,0.84375,12,0,13
7,1,12,5,12,5,5,0.3125,3,20,16
7,1,13,10,13,12,11,0.6875,9,0,19
7,1,14,2,14,2,2,0.125,2,40,17
7,1,15,8,15,9,8.5,0.53125,8,0,18
7,1,16,12,16,11,11.5,0.71875,14,0,21
8,3,1,5,1,5,5,0.3125,4,0,26
8,3,2,1,2,1,1,0.0625,14,0,36
8,3,3,9,3,9,9,0.5625,8,0,30
8,3,4,,4,,,0,6,0,28
8,3,5,15,5,15,15,0.9375,15,0,37
8,3,6,10,6,11,10.5,0.65625,9,0,31
8,3,7,11,7,10,10.5,0.65625,12,0,34
8,3,8,2,8,2,2,0.125,2,40,24
8,3,9,8,9,8,8,0.5,5,0,27
8,3,10,7,10,7,7,0.4375,7,0,29
8,3,11,6,11,6,6,0.375,1,60,23
8,3,12,3,12,3,3,0.1875,3,20,25
8,3,13,12,13,12,12,0.75,10,0,32
8,3,14,14,14,14,14,0.875,13,0,35
8,3,15,4,15,4,4,0.25,16,0,38
8,3,16,13,16,13,13,0.8125,11,0,33
8,2,1,4,1,4,4,0.25,4,0,26
8,2,2,1,2,1,1,0.0625,14,0,36
8,2,3,8,3,8,8,0.5,8,0,30
8,2,4,,4,,,0,6,0,28
8,2,5,15,5,15,15,0.9375,15,0,37
8,2,6,10,6,10,10,0.625,9,0,31
8,2,7,12,7,12,12,0.75,12,0,34
8,2,8,2,8,2,2,0.125,2,40,24
8,2,9,7,9,7,7,0.4375,5,0,27
8,2,10,6,10,6,6,0.375,7,0,29
8,2,11,5,11,5,5,0.3125,1,60,23
8,2,12,3,12,3,3,0.1875,3,20,25
8,2,13,11,13,11,11,0.6875,10,0,32
8,2,14,14,14,14,14,0.875,13,0,35
8,2,15,9,15,9,9,0.5625,16,0,38
8,2,16,13,16,13,13,0.8125,11,0,33
8,1,1,4,1,3,3.5,0.21875,4,0,26
8,1,2,14,2,14,14,0.875,14,0,36
8,1,3,7,3,7,7,0.4375,8,0,30
8,1,4,,4,,,0,6,0,28
8,1,5,15,5,15,15,0.9375,15,0,37
8,1,6,9,6,9,9,0.5625,9,0,31
8,1,7,11,7,11,11,0.6875,12,0,34
8,1,8,1,8,1,1,0.0625,2,40,24
8,1,9,6,9,6,6,0.375,5,0,27
8,1,10,3,10,4,3.5,0.21875,7,0,29
8,1,11,2,11,2,2,0.125,1,60,23
8,1,12,5,12,5,5,0.3125,3,20,25
8,1,13,10,13,10,10,0.625,10,0,32
8,1,14,13,14,13,13,0.8125,13,0,35
8,1,15,8,15,8,8,0.5,16,0,38
8,1,16,12,16,12,12,0.75,11,0,33
9,3,1,9,1,9,9,0.6,1,60,1
9,3,2,5,2,5,5,0.333333333,11,0,15
9,3,3,8,3,8,8,0.533333333,4,0,17
9,3,4,13,4,14,13.5,0.9,6,0,11
9,3,5,10,5,10,10,0.666666667,2,40,18
9,3,6,2,6,2,2,0.133333333,8,0,41
9,3,7,6,7,6,6,0.4,13,0,13
9,3,8,11,8,11,11,0.733333333,3,20,3
9,3,9,1,9,1,1,0.066666667,14,0,40
9,3,10,7,10,7,7,0.466666667,10,0,44
9,3,11,14,11,13,13.5,0.9,12,0,45
9,3,12,12,12,12,12,0.8,7,0,42
9,3,13,15,13,15,15,1,15,0,46
9,3,14,4,14,4,4,0.266666667,9,0,43
9,3,15,3,15,3,3,0.2,5,0,8
9,2,1,8,1,8,8,0.533333333,1,60,1
9,2,2,7,2,6,6.5,0.433333333,11,0,15
9,2,3,9,3,10,9.5,0.633333333,4,0,17
9,2,4,13,4,13,13,0.866666667,6,0,11
9,2,5,10,5,9,9.5,0.633333333,2,40,18
9,2,6,3,6,3,3,0.2,8,0,41
9,2,7,1,7,1,1,0.066666667,13,0,13
9,2,8,11,8,11,11,0.733333333,3,20,3
9,2,9,6,9,5,5.5,0.366666667,14,0,40
9,2,10,2,10,2,2,0.133333333,10,0,44
9,2,11,14,11,14,14,0.933333333,12,0,45
9,2,12,12,12,12,12,0.8,7,0,42
9,2,13,15,13,15,15,1,15,0,46
9,2,14,4,14,4,4,0.266666667,9,0,43
9,2,15,5,15,7,6,0.4,5,0,8
9,1,1,3,1,3,3,0.2,1,60,1
9,1,2,12,2,12,12,0.8,11,0,15
9,1,3,5,3,6,5.5,0.366666667,4,0,17
9,1,4,9,4,10,9.5,0.633333333,6,0,11
9,1,5,1,5,1,1,0.066666667,2,40,18
9,1,6,7,6,7,7,0.466666667,8,0,41
9,1,7,11,7,9,10,0.666666667,13,0,13
9,1,8,2,8,2,2,0.133333333,3,20,3
9,1,9,14,9,14,14,0.933333333,14,0,40
9,1,10,6,10,5,5.5,0.366666667,10,0,44
9,1,11,13,11,13,13,0.866666667,12,0,45
9,1,12,8,12,8,8,0.533333333,7,0,42
9,1,13,15,13,15,15,1,15,0,46
9,1,14,10,14,11,10.5,0.7,9,0,43
9,1,15,4,15,4,4,0.266666667,5,0,8
10,3,1,5,1,5,5,0.3125,2,40,47
10,3,2,2,2,2,2,0.125,5,0,25
10,3,3,7,3,7,7,0.4375,3,20,26
10,3,4,15,4,15,15,0.9375,15,0,34
10,3,5,13,5,13,13,0.8125,12,0,30
10,3,6,,6,,,0,,0,28
10,3,7,1,7,1,1,0.0625,11,0,49
10,3,8,3,8,4,3.5,0.21875,1,60,27
10,3,9,8,9,8,8,0.5,4,0,35
10,3,10,9,10,9,9,0.5625,6,0,50
10,3,11,4,11,3,3.5,0.21875,10,0,32
10,3,12,10,12,11,10.5,0.65625,7,0,51
10,3,13,6,13,6,6,0.375,9,0,53
10,3,14,11,14,12,11.5,0.71875,13,0,48
10,3,15,12,15,10,11,0.6875,8,0,52
10,3,16,14,16,14,14,0.875,14,0,54
10,2,1,5,1,3,4,0.25,2,40,47
10,2,2,1,2,1,1,0.0625,5,0,25
10,2,3,8,3,7,7.5,0.46875,3,20,26
10,2,4,15,4,15,15,0.9375,15,0,34
10,2,5,7,5,9,8,0.5,12,0,30
10,2,6,,6,,,0,,0,28
10,2,7,2,7,2,2,0.125,11,0,49
10,2,8,3,8,5,4,0.25,1,60,27
10,2,9,4,9,4,4,0.25,4,0,35
10,2,10,10,10,8,9,0.5625,6,0,50
10,2,11,9,11,11,10,0.625,10,0,32
10,2,12,12,12,10,11,0.6875,7,0,51
10,2,13,13,13,13,13,0.8125,9,0,53
10,2,14,6,14,6,6,0.375,13,0,48
10,2,15,11,15,12,11.5,0.71875,8,0,52
10,2,16,14,16,14,14,0.875,14,0,54
10,1,1,5,1,5,5,0.3125,2,40,47
10,1,2,3,2,3,3,0.1875,5,0,25
10,1,3,1,3,1,1,0.0625,3,20,26
10,1,4,15,4,15,15,0.9375,15,0,34
10,1,5,8,5,8,8,0.5,12,0,30
10,1,6,,6,,,0,,0,28
